mode,datetime
chrono,2024-06-28T10:50:29.925Z
sansChrono,2024-06-28T10:50:44.920Z
sansChrono,2024-06-28T10:51:07.637Z
sansChrono,2024-06-28T10:51:14.515Z
chrono,2024-06-28T10:51:36.038Z
sansChrono,2024-06-28T10:51:58.400Z
sansChrono,2024-06-28T10:52:01.134Z
sansChrono,2024-06-28T10:52:16.039Z
chrono,2024-06-28T10:52:23.241Z
chrono,2024-06-28T10:52:42.694Z
sansChrono,2024-06-28T10:52:49.939Z
sansChrono,2024-06-28T10:52:55.015Z
sansChrono,2024-06-28T10:52:59.619Z
chrono,2024-06-28T10:53:06.782Z
sansChrono,2024-06-28T10:53:15.949Z
sansChrono,2024-06-28T10:53:24.395Z
chrono,2024-06-28T10:53:34.754Z
sansChrono,2024-06-28T10:53:38.584Z
sansChrono,2024-06-28T10:53:39.727Z
sansChrono,2024-06-28T10:53:47.156Z
sansChrono,2024-06-28T10:52:36.048Z
sansChrono,2024-06-28T10:54:09.296Z
sansChrono,2024-06-28T10:54:40.517Z
sansChrono,2024-06-28T10:54:41.496Z
sansChrono,2024-06-28T10:55:02.902Z
chrono,2024-06-28T10:55:11.660Z
sansChrono,2024-06-28T10:55:27.301Z
sansChrono,2024-06-28T10:56:03.285Z
sansChrono,2024-06-28T10:56:09.653Z
sansChrono,2024-06-28T10:56:13.987Z
sansChrono,2024-06-28T10:56:28.212Z
sansChrono,2024-06-28T10:56:34.386Z
sansChrono,2024-06-28T10:56:41.493Z
sansChrono,2024-06-28T10:56:41.027Z
sansChrono,2024-06-28T10:56:46.671Z
sansChrono,2024-06-28T10:57:13.343Z
sansChrono,2024-06-28T10:57:14.068Z
chrono,2024-06-28T10:57:45.447Z
sansChrono,2024-06-28T10:57:49.134Z
chrono,2024-06-28T10:58:13.161Z
chrono,2024-06-28T10:58:22.642Z
sansChrono,2024-06-28T10:58:23.450Z
sansChrono,2024-06-28T10:58:26.796Z
sansChrono,2024-06-28T10:58:28.952Z
sansChrono,2024-06-28T10:59:03.034Z
sansChrono,2024-06-28T10:59:05.359Z
sansChrono,2024-06-28T10:59:19.104Z
sansChrono,2024-06-28T10:59:18.959Z
sansChrono,2024-06-28T10:59:33.781Z
sansChrono,2024-06-28T10:59:49.389Z
sansChrono,2024-06-28T11:00:00.048Z
sansChrono,2024-06-28T11:00:09.947Z
chrono,2024-06-28T11:00:15.679Z
sansChrono,2024-06-28T11:00:34.331Z
chrono,2024-06-28T11:00:48.828Z
chrono,2024-06-28T11:00:56.760Z
sansChrono,2024-06-28T11:01:05.669Z
chrono,2024-06-28T11:01:03.790Z
chrono,2024-06-28T11:01:16.830Z
sansChrono,2024-06-28T11:01:39.993Z
sansChrono,2024-06-28T11:01:53.961Z
sansChrono,2024-06-28T11:01:56.936Z
sansChrono,2024-06-28T11:01:59.379Z
chrono,2024-06-28T11:02:04.980Z
sansChrono,2024-06-28T11:02:08.320Z
sansChrono,2024-06-28T11:02:13.872Z
sansChrono,2024-06-28T11:02:17.204Z
sansChrono,2024-06-28T11:02:18.536Z
sansChrono,2024-06-28T11:02:32.635Z
sansChrono,2024-06-28T11:02:38.309Z
chrono,2024-06-28T11:02:51.197Z
sansChrono,2024-06-28T11:02:54.746Z
sansChrono,2024-06-28T11:03:03.112Z
sansChrono,2024-06-28T11:03:03.126Z
sansChrono,2024-06-28T11:03:07.190Z
sansChrono,2024-06-28T11:03:09.823Z
sansChrono,2024-06-28T11:03:16.289Z
chrono,2024-06-28T11:03:27.650Z
sansChrono,2024-06-28T11:03:22.152Z
sansChrono,2024-06-28T11:03:28.411Z
chrono,2024-06-28T11:03:33.932Z
sansChrono,2024-06-28T11:03:46.128Z
sansChrono,2024-06-28T11:03:48.756Z
sansChrono,2024-06-28T11:03:53.706Z
sansChrono,2024-06-28T11:03:57.903Z
sansChrono,2024-06-28T11:04:20.455Z
sansChrono,2024-06-28T11:04:20.514Z
sansChrono,2024-06-28T11:04:28.515Z
chrono,2024-06-28T11:04:39.100Z
chrono,2024-06-28T11:04:41.255Z
sansChrono,2024-06-28T11:05:02.514Z
sansChrono,2024-06-28T11:05:12.673Z
chrono,2024-06-28T11:05:11.700Z
sansChrono,2024-06-28T11:05:14.624Z
sansChrono,2024-06-28T11:07:00.419Z
chrono,2024-06-28T11:05:21.502Z
chrono,2024-06-28T11:05:23.460Z
chrono,2024-06-28T11:05:37.356Z
chrono,2024-06-28T11:05:40.679Z
sansChrono,2024-06-28T11:05:59.139Z
chrono,2024-06-28T11:06:08.802Z
sansChrono,2024-06-28T11:06:06.098Z
chrono,2024-06-28T11:06:33.790Z
chrono,2024-06-28T11:06:38.153Z
sansChrono,2024-06-28T11:07:04.345Z
sansChrono,2024-06-28T11:07:12.427Z
chrono,2024-06-28T11:07:16.247Z
sansChrono,2024-06-28T11:07:26.897Z
sansChrono,2024-06-28T11:07:32.866Z
sansChrono,2024-06-28T11:07:48.239Z
chrono,2024-06-28T11:07:55.023Z
sansChrono,2024-06-28T11:07:57.224Z
sansChrono,2024-06-28T11:08:00.833Z
chrono,2024-06-28T11:08:05.571Z
sansChrono,2024-06-28T11:08:05.873Z
chrono,2024-06-28T11:08:14.213Z
chrono,2024-06-28T11:08:14.147Z
sansChrono,2024-06-28T11:08:18.136Z
